reading_no,temperature_c,humidity_pct,sensor_reading,motion_detected,sensor_hour,sensor_minute,time_minutes,temp_humidity_ratio,sensor_x_motion,dataset_source,iqr_anomaly_temperature_c,iqr_anomaly_humidity_pct,iqr_anomaly_sensor_reading,iqr_anomaly_reading_no,iqr_any_anomaly,anomaly_label,anomaly_score,is_anomaly,rf_pred,rf_prob,svm_pred,svm_prob,reading_index,twin_temp_mean,twin_temp_std,twin_hum_mean,twin_hum_std,twin_sr_mean,twin_sr_std,twin_temp_upper,twin_temp_lower,twin_hum_upper,twin_hum_lower,twin_sr_upper,twin_sr_lower,dev_temp,dev_hum,dev_sr,twin_deviation,temp_deviation_magnitude,hum_deviation_magnitude,sr_deviation_magnitude,twin_deviation_score,rf_twin_agree,svm_twin_agree,both_agree,high_confidence_anomaly,risk_level
6.878377821594327,32.03018068614755,58.30334878500598,0.161,1,11,22,682,0.5493711905792562,0.161,Dataset_3,False,False,False,False,0,0,-0.0390430994294237,Normal,0,0.045,0,0.011336050019539634,0,,0.01,,0.01,,0.01,,,,,,,0,0,0,0,,,,,0,0,0,0,NORMAL
96.20309855022384,32.73619912168007,53.85266675694993,0.859,1,11,22,682,0.6078844463087034,0.859,Dataset_1,False,False,False,False,0,0,-0.0259918650256733,Normal,0,0.095,0,0.03205774133577869,1,,0.01,,0.01,,0.01,,,,,,,0,0,0,0,,,,,0,0,0,0,NORMAL
4.551660609166298,34.02281815062332,57.34582480371613,0.083,1,11,22,682,0.593291973282885,0.083,Dataset_3,False,False,False,False,0,1,0.0182545497709085,Anomaly,1,1.0,1,0.8139933584326843,2,,0.01,,0.01,,0.01,,,,,,,0,0,0,0,,,,,0,0,0,0,MEDIUM RISK
2.880171916494284,32.59787942488882,50.31204272217057,0.715,1,11,22,682,0.6479140383344079,0.715,Dataset_2,False,False,False,False,0,0,-0.0054781824622905,Normal,0,0.125,1,0.517685835424903,3,,0.01,,0.01,,0.01,,,,,,,0,0,0,0,,,,,0,0,0,0,LOW RISK
88.41823066457103,32.38411418805366,63.66232597958821,0.493,1,11,22,682,0.5086856815403064,0.493,Dataset_1,False,False,False,False,0,0,-0.0217426012637098,Normal,0,0.15,1,0.3949091753814946,4,,0.01,,0.01,,0.01,,,,,,,0,0,0,0,,,,,0,0,0,0,LOW RISK
30.011924257635098,32.62968624146683,65.0221969240921,0.236,1,11,22,682,0.5018237968448748,0.236,Dataset_1,False,False,False,False,0,0,-0.0238901822263817,Normal,0,0.145,1,0.4309738967640854,5,,0.01,,0.01,,0.01,,,,,,,0,0,0,0,,,,,0,0,0,0,LOW RISK
32.848726025365856,32.781503662819325,63.50354052673778,0.827,1,11,22,682,0.5162153617687113,0.827,Dataset_2,False,False,False,False,0,0,-0.020125649814137,Normal,0,0.095,1,0.5137887351298663,6,,0.01,,0.01,,0.01,,,,,,,0,0,0,0,,,,,0,0,0,0,LOW RISK
23.69472978108384,32.47507089681257,69.10118059790484,0.334,1,11,22,682,0.4699640461400911,0.334,Dataset_1,False,False,False,False,0,1,0.0237417430689734,Anomaly,1,1.0,1,0.9999980965490497,7,,0.01,,0.01,,0.01,,,,,,,0,0,0,0,,,,,0,0,0,0,MEDIUM RISK
10.177291225149824,33.14641886650036,56.05934511497139,0.451,1,11,22,682,0.5912737333489548,0.451,Dataset_1,False,False,False,False,0,0,-0.0515546702397297,Normal,0,0.045,0,0.0016463032560281217,8,,0.01,,0.01,,0.01,,,,,,,0,0,0,0,,,,,0,0,0,0,NORMAL
35.23519688415404,33.82254953977959,56.88929582876135,0.651,1,11,22,682,0.5945327403428201,0.651,Dataset_2,False,False,False,False,0,0,-0.0339663871321187,Normal,0,0.12,0,0.007581736719010166,9,32.86264207787721,0.629558169504271,59.40517680398983,5.744349557783914,0.481,0.27683488861694355,34.121758416885754,31.60352573886867,70.89387591955766,47.916477688422006,1.034669777233887,-0.07266977723388712,0,0,0,0,1.5247295383819568,0.43797483282410843,0.6140822306288048,1.5247295383819568,0,0,0,0,NORMAL
31.280764239966025,33.208196148887794,51.04095186168995,0.241,1,11,22,682,0.6506186559423155,0.241,Dataset_3,False,False,False,False,0,0,-0.0351238916216287,Normal,0,0.015,0,0.004266582072625301,10,32.89405608433272,0.606270878179107,58.6447927183262,6.004816416248427,0.4591818181818182,0.2724154247401634,34.10659784069093,31.681514327974504,70.65442555082305,46.635159885829346,1.004012667662145,-0.0856490312985086,0,0,0,0,0.5181504797790929,1.266290101687527,0.8009128612194536,1.266290101687527,0,0,0,0,NORMAL
108.79979074569272,32.81185122614942,48.771023093369685,0.894,1,11,22,682,0.6727734722841329,0.894,Dataset_3,False,False,False,False,0,1,0.0489897604353228,Anomaly,1,1.0,1,0.991335395166692,11,32.88720567948411,0.5785434908952993,57.821978582913154,6.3956323968922435,0.49541666666666667,0.2884776526190652,34.04429266127471,31.730118697693513,70.61324337669764,45.03071378912867,1.072371971904797,-0.08153863857146376,0,0,0,0,0.13024832924790014,1.4151773448962062,1.3816735821338604,1.4151773448962062,0,0,0,0,MEDIUM RISK
17.79280325255459,32.342606462651304,55.15772589985741,0.835,1,11,22,682,0.5863658326850832,0.835,Dataset_3,False,False,False,False,0,0,-0.0448734731269618,Normal,0,0.025,0,0.02464346663986739,12,32.84531343203543,0.5741379118044065,57.61703606883195,6.167775632498522,0.5215384615384615,0.29181318664076145,33.993589255644245,31.69703760842662,69.952587333829,45.28148480383491,1.1051648348199845,-0.062087911743061386,0,0,0,0,0.8755842167259114,0.39873528428643673,1.074181971993795,1.074181971993795,0,0,0,0,NORMAL
23.360320873306243,32.46895117249764,53.01561871458122,0.28,1,11,22,682,0.6124412267045046,0.28,Dataset_2,False,False,False,False,0,0,-0.0646952393526827,Normal,0,0.0,0,0.00013976876840081292,13,32.81843041349702,0.5607099138974537,57.28836340067118,6.052069935681685,0.5042857142857142,0.2877008137662426,33.93985024129193,31.697010585702113,69.39250327203455,45.18422352930781,1.0796873418181994,-0.07111591324677102,0,0,0,0,0.6232788275337443,0.7059971258596442,0.7795769910159346,0.7795769910159346,0,0,0,0,NORMAL
59.03433801172552,32.75078096749953,61.77000639911556,0.331,1,11,22,682,0.5302052297952042,0.331,Dataset_1,False,False,False,False,0,0,-0.072125231733911,Normal,0,0.005,0,0.0020242724544668224,14,32.813920450430516,0.5405958517558207,57.587139600567475,5.945612261420217,0.49273333333333336,0.2808226350936697,33.89511215394216,31.732728746918873,69.47836412340791,45.695915077727044,1.0543786035206728,-0.0689119368540061,0,0,0,0,0.11679587612453321,0.7035215064675987,0.575924933381717,0.7035215064675987,0,0,0,0,NORMAL
